,る,程蔼基,程基,舦(A/B)キА基,Θユ掸计,Θユ肂(A),Θユ计(B),秅锣瞯(%)
108,1,229.5,206.5,218.6,"241,579","162,731,372,580","744,403,635",2.87
108,2,240,226,232.09,"130,403","92,471,159,656","398,420,368",1.53
108,3,248.5,227.5,238.08,"161,696","115,730,790,581","486,084,900",1.87
108,4,270,245,258.72,"205,989","169,010,058,727","653,253,770",2.51
108,5,265,227,242.02,"281,361","218,717,277,224","903,700,933",3.48
108,6,248.5,229.5,239.31,"266,583","168,973,111,961","706,079,172",2.72
108,7,266.5,240,253.6,"270,831","173,426,841,378","683,857,533",2.63
108,8,259,240,250.9,"236,552","164,256,059,178","654,659,478",2.52
108,9,272.5,253,264,"211,892","157,033,967,680","594,814,567",2.29
108,10,301.5,273,288.94,"293,469","227,751,124,384","788,214,849",3.03
108,11,315,296.5,307.1,"222,914","192,686,573,818","627,432,788",2.41
108,12,345,304,328.08,"298,188","242,147,622,040","738,054,599",2.84
